,source,target,with_ch
0,A-Bomb (HAS),Interior #92079,['A-Bomb (HAS)']
1,A-Bomb (HAS),Interior #92083,['A-Bomb (HAS)']
2,A-Bomb (HAS),Interior #92087,['A-Bomb (HAS)']
3,A.I.M.,2 of 4 - 4XLS,"['A.I.M.', 'Sally Floyd']"
4,A.I.M.,When the Unliving Strike,['A.I.M.']
5,A.I.M.,The Enemy Within!,['A.I.M.']
6,A.I.M.,Death Before Dishonor!,['A.I.M.']
7,A.I.M.,The End of A.I.M.!,['A.I.M.']
8,A.I.M.,The Red Skull Lives!,['A.I.M.']
9,A.I.M.,He Who Holds the Cosmic Cube,['A.I.M.']
10,A.I.M.,The Maddening Mystery of the Inconceivable Adaptoid!,['A.I.M.']
11,A.I.M.,If This Be... Modok,['A.I.M.']
12,A.I.M.,A Time to Die -- A Time to Live!,['A.I.M.']
13,A.I.M.,At the Mercy of the Maggia,"['A.I.M.', 'Jasper Sitwell']"
14,A.I.M.,"Look Homeward, Avenger",['A.I.M.']
15,A.I.M.,The Fearful Secret of Bucky Barnes,"['A.I.M.', 'Baron Strucker', 'M.O.D.O.K.']"
16,A.I.M.,Madness In the Slums,"['A.I.M.', 'M.O.D.O.K.']"
17,A.I.M.,In Sin Airy X,['A.I.M.']
18,Aaron Stack,Interior #25635,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
19,Aaron Stack,Interior #25638,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
20,Aaron Stack,Interior #25648,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
21,Aaron Stack,Interior #25650,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
22,Aaron Stack,Interior #25652,"['Aaron Stack', 'Gargoyle (Isaac Christians)']"
23,Aaron Stack,Interior #25654,['Aaron Stack']
24,Aaron Stack,Interior #90002,['Aaron Stack']
25,Aaron Stack,Interior #92371,['Aaron Stack']
26,Aaron Stack,Interior #92373,"['Aaron Stack', 'Mach IV']"
27,Abomination (Emil Blonsky),Whosoever Harms the Hulk..!,['Abomination (Emil Blonsky)']
28,Abomination (Emil Blonsky),The Stars Mine Enemy,['Abomination (Emil Blonsky)']
29,Abomination (Emil Blonsky),Revenge,['Abomination (Emil Blonsky)']
30,Abomination (Emil Blonsky),The Day of the Locust!,['Abomination (Emil Blonsky)']
31,Abomination (Emil Blonsky),Warfare In Wonderland!,['Abomination (Emil Blonsky)']
32,Abomination (Emil Blonsky),The Abomination Proclamation!,['Abomination (Emil Blonsky)']
33,Abomination (Emil Blonsky),An Intruder In the Mind!,"['Abomination (Emil Blonsky)', 'Leader', 'M.O.D.O.K.']"
34,Abomination (Emil Blonsky),Countdown Part 4: The Abomination,['Abomination (Emil Blonsky)']
35,Abomination (Ultimate),Free Preview of THE INCREDIBLE HULK #50,['Abomination (Ultimate)']
36,Abomination (Ultimate),Interior #92099,['Abomination (Ultimate)']
37,Absorbing Man,"The Stronger I Am, the Sooner I Die","['Absorbing Man', 'Jane Foster']"
38,Absorbing Man,The Vengeance of the Thunder God,"['Absorbing Man', 'Jane Foster', 'Odin']"
39,Absorbing Man,With My Hammer In Hand,"['Absorbing Man', 'Odin']"
40,Absorbing Man,The Power!  The Passion!  The Pride!,"['Absorbing Man', 'Balder', 'Jane Foster']"
41,Absorbing Man,Where Mortals Fear To Tread!,"['Absorbing Man', 'Jane Foster', 'Odin']"
42,Absorbing Man,While a Universe Trembles,"['Absorbing Man', 'Odin']"
43,Absorbing Man,Good Dreams!,"['Absorbing Man', 'Darkstar', 'Kang', 'Uatu The Watcher']"
44,Abyss,A Beginning,"['Abyss', 'Unus']"
45,Abyss,Utility of Myth,['Abyss']
46,Abyss,Army Ants,['Abyss']
47,Abyss,Ballroom Blitzkrieg,['Abyss']
48,Abyss,Staring Contests are for Suckers,['Abyss']
49,Abyss,The Draco Part One: Sins of the Father,['Abyss']
50,Abyss,The Draco Part Three,['Abyss']
51,Abyss,The Draco Part Four,['Abyss']
52,Abyss (Age of Apocalypse),X-Facts,['Abyss (Age of Apocalypse)']
53,Adam Warlock,"Cry, the Bedeviled Planet!",['Adam Warlock']
54,Adam Warlock,Forever Evil,['Adam Warlock']
55,Adam Warlock,Peril of the Paired Planets,['Adam Warlock']
56,Adam Warlock,Triumph On Terra-Two,['Adam Warlock']
57,Adam Warlock,Performance,['Adam Warlock']
58,Adam Warlock,You Must Remember This,"['Adam Warlock', 'Cannonball']"
59,Adam Warlock,"The Adventures of Lockheed the Space Dragon and His Pet Girl, Kitty",['Adam Warlock']
60,Agatha Harkness,The Return of the Frightful Four,['Agatha Harkness']
61,Agatha Harkness,Ancestors,['Agatha Harkness']
62,Agatha Harkness,Namor War 1 of 4,"['Agatha Harkness', ""Salem's Seven (Ultimate)""]"
63,Agatha Harkness,Namor War 2 of 4,"['Agatha Harkness', ""Salem's Seven (Ultimate)""]"
64,Agatha Harkness,The Wizard of Oz,['Agatha Harkness']
65,Agatha Harkness,3 of 4 - Salem Seven,"['Agatha Harkness', ""Salem's Seven (Ultimate)""]"
66,Agatha Harkness,interior to Scarlet Witch (1994) #1,['Agatha Harkness']
67,Agatha Harkness,interior to Scarlet Witch (1994) #3,['Agatha Harkness']
68,Agent Brand,Interior #3353,"['Agent Brand', 'Ord']"
69,Agent Brand,Astonishing X-Men (2004) #38,['Agent Brand']
70,Agent Brand,Interior #90819,['Agent Brand']
71,Agent Brand, Interior  Astonishing X-Men (2004) #40,['Agent Brand']
72,Agent Brand,story from Cable and X-Force (2012) #8,['Agent Brand']
73,Agent X (Nijo),Dead Man's Switch Part One,['Agent X (Nijo)']
74,Agent X (Nijo),Dead Man's Switch Part Two,['Agent X (Nijo)']
75,Agent X (Nijo),Dead Man's Switch Part Three,['Agent X (Nijo)']
76,Agent X (Nijo),Dead Man's Switch Part Four,['Agent X (Nijo)']
77,Agent X (Nijo),Dead Man's Switch Part Five,['Agent X (Nijo)']
78,Agent X (Nijo),Dead Man's Switch Part Six,['Agent X (Nijo)']
79,Agent Zero,1 of 5 - 5XLS,"['Agent Zero', 'Fantomex', 'Invisible Woman (Ultimate)']"
80,Agent Zero,2 of 5 - 5XLS,"['Agent Zero', 'Captain America (Ultimate)', 'Fantomex']"
81,Agent Zero,The Hunted Part 2,['Agent Zero']
82,Agent Zero,The Hunted Part 5,['Agent Zero']
83,Agent Zero,The Logan Files Epilogue,['Agent Zero']
84,Agent Zero,Counting Coup,['Agent Zero']
85,Agent Zero,Nightmare Quest!,"['Agent Zero', 'Omega Red']"
86,Agent Zero,Reunion!,['Agent Zero']
87,Agent Zero,Bastions of Glory!,['Agent Zero']
88,Agent Zero,What Goes Around...,['Agent Zero']
89,Agent Zero,Valley O' Death,['Agent Zero']
90,Agent Zero,Epsilon Red,['Agent Zero']
91,Agent Zero,Showdown In Lowtown,['Agent Zero']
92,Agent Zero,Last Stand,"['Agent Zero', 'Warhawk (Mitchell Tanner)']"
93,Agent Zero,Over...Again,"['Agent Zero', 'Warhawk (Mitchell Tanner)']"
94,Agent Zero,Second Contact,['Agent Zero']
95,Agents of Atlas,1 of 6 - 6 XLS-,['Agents of Atlas']
96,Agents of Atlas,2 of 6 - 6 XLS -,['Agents of Atlas']
97,Agents of Atlas,3 of 6 - 6 XLS -,['Agents of Atlas']
98,Agents of Atlas,4 of 6 - 6 XLS -,['Agents of Atlas']
99,Agents of Atlas,5 of 6 - 6 XLS -,['Agents of Atlas']
100,Agents of Atlas,5 of 6 - Story A - 6XLS,['Agents of Atlas']
101,Agents of Atlas,1 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Venus (Siren)']"
102,Agents of Atlas,1 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Venus (Siren)']"
103,Agents of Atlas,2 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Paper Doll']"
104,Agents of Atlas,2 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Paper Doll']"
105,Agents of Atlas,3 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Agents of Atlas', 'Paper Doll']"
106,Agents of Atlas,3 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Agents of Atlas', 'Paper Doll']"
107,Agents of Atlas,3 of 3,"['Agents of Atlas', 'Agents of Atlas', 'Agents of Atlas', 'Paper Doll']"
108,Air-Walker (Gabriel Lan),Magical Mystery Tour,['Air-Walker (Gabriel Lan)']
109,Air-Walker (Gabriel Lan),Matters of the Heart,"['Air-Walker (Gabriel Lan)', 'Terrax']"
110,Ajak,Interior #46777,"['Ajak', 'Omega (Michael Pointer)']"
111,Ajak,Interior #47098,['Ajak']
112,Ajak,3 of 4 - Secret Invasion,['Ajak']
113,Ajak,4 of 4 - Secret Invasion,['Ajak']
114,Balder,A World Gone Mad,"['Balder', 'Jane Foster', 'Odin']"
115,Balder,The Trial of the Gods,"['Balder', 'Jane Foster', 'Odin']"
116,Balder,Into the Blaze of Battle!,"['Balder', 'Jane Foster', 'Odin']"
117,Balder,The Power!  The Passion!  The Pride!,"['Absorbing Man', 'Balder', 'Jane Foster']"
118,Balder,Thor (1966) #164,"['Balder', 'Zeus']"
119,Balder,Thor (1966) #165,['Balder']
120,Balder,Thor (1966) #166,['Balder']
121,Balder,Thor (1966) #167,['Balder']
122,Balder,Thor (1966) #168,['Balder']
123,Balder,Thor (1966) #169,['Balder']
124,Balder,Thor (1966) #170,['Balder']
125,Balder,Thor (1966) #175,['Balder']
126,Balder,Thor (1966) #176,['Balder']
127,Balder,Thor (1966) #177,['Balder']
128,Balder,Thor (1966) #182,['Balder']
129,Banshee,2 of 4 - Season of the Witch,"['Banshee', 'Callisto', 'Rachel Grey']"
130,Banshee,4 of 4 - Season of the Witch (HoM),['Banshee']
131,Banshee,Greater Love Hath No X-Man...,['Banshee']
132,Banshee,"Like a Phoenix, From the Ashes!",['Banshee']
133,Banshee,Who Will Stop the Juggernaut?,['Banshee']
134,Banshee,The Fall of the Tower,['Banshee']
135,Banshee,The Gentleman's Name is Magneto,['Banshee']
136,Banshee,Phoenix Unleashed!,['Banshee']
137,Banshee,Dark Shroud of the Past !,['Banshee']
138,Banshee,Where No X-Man Has Gone Before!,"['Banshee', 'Bastion', 'Firelord', 'Oracle', 'Quasar (Phyla-Vell)', 'Raza', 'Tempest']"
139,Banshee,Armageddon Now !,"['Banshee', 'Firelord', 'Raza']"
140,Banshee,Home are the Heroes!,"['Banshee', 'Raza']"
141,Banshee,"The ""X""-Sanction!",['Banshee']
142,Banshee (Theresa Rourke),Kings of Pain Part 3: Queens of Sacrifice,"['Banshee (Theresa Rourke)', 'Cannonball', 'Firestar', 'Legion', 'Warpath']"
143,Banshee (Theresa Rourke),Phalanx Covenant: Life Signs Part 1,"['Banshee (Theresa Rourke)', 'Warpath']"
144,Banshee (Theresa Rourke),Clash Reunion,"['Banshee (Theresa Rourke)', 'Legion']"
145,Banshee (Theresa Rourke),Tough Love,"['Banshee (Theresa Rourke)', 'Famine', 'War (Abraham Kieros)']"
146,Banshee (Theresa Rourke),Hello Little Girl... Is Your Father Home?,['Banshee (Theresa Rourke)']
147,Banshee (Theresa Rourke),Fear & Loathing Part 3,['Banshee (Theresa Rourke)']
148,Banshee (Theresa Rourke),Shadows,['Banshee (Theresa Rourke)']
149,Banshee (Theresa Rourke),Sinsearly Yours Sincerely Mine...,['Banshee (Theresa Rourke)']
150,Banshee (Theresa Rourke),Fathers and Sons Act 2: Illuminated Knights,['Banshee (Theresa Rourke)']
151,Banshee (Theresa Rourke),Fathers and Sons Part 3: Dayspring,['Banshee (Theresa Rourke)']
152,Banshee (Theresa Rourke),Racing the Night,"['Banshee (Theresa Rourke)', 'Emplate', 'Warpath', 'X-Man']"
153,Banshee (Theresa Rourke),Deadpool (1997) #12,"['Banshee (Theresa Rourke)', 'Warpath']"
154,Banshee (Theresa Rourke),Deadpool (1997) #13,"['Banshee (Theresa Rourke)', 'Union Jack (Montgomery Falsworth)']"
155,Banshee (Theresa Rourke),Deadpool (1997) #2,"['Banshee (Theresa Rourke)', 'Taskmaster']"
156,Banshee (Theresa Rourke),Deadpool (1997) #22,"['Banshee (Theresa Rourke)', 'Union Jack (Montgomery Falsworth)']"
157,Banshee (Theresa Rourke),Deadpool (1997) #3,['Banshee (Theresa Rourke)']
158,Baron Mordo (Karl Mordo),Final Curtain!,['Baron Mordo (Karl Mordo)']
159,Baron Mordo (Karl Mordo),Shadowplay!,['Baron Mordo (Karl Mordo)']
160,Baron Mordo (Karl Mordo),"Dormammu Ascendant [The Dark Wars, Part 2 of 4]","['Baron Mordo (Karl Mordo)', 'Umar']"
161,Baron Mordo (Karl Mordo),"TBOTV: The Mordo Chronicles, Part II",['Baron Mordo (Karl Mordo)']
162,Baron Mordo (Karl Mordo),TBOTV: The Mordo Chronicles Part III,['Baron Mordo (Karl Mordo)']
163,Baron Strucker,Interior #1500,"['Baron Strucker', 'Captain America', 'Hank Pym', 'Nick Fury', 'Wasp']"
164,Baron Strucker,Interior #3193,"['Baron Strucker', 'Hank Pym', 'Nick Fury']"
165,Baron Strucker,Bucky Reborn,['Baron Strucker']
166,Baron Strucker,The Fearful Secret of Bucky Barnes,"['A.I.M.', 'Baron Strucker', 'M.O.D.O.K.']"
167,Baron Strucker,The Crimson Crusade,"['Baron Strucker', 'Quasar (Phyla-Vell)']"
168,Baron Strucker,Hydra and Go-Seek,['Baron Strucker']
169,Baron Strucker,Earth X Chapter Seven,"['Baron Strucker', 'Baron Zemo (Heinrich Zemo)']"
170,Baron Strucker,[untitled],"['Baron Strucker', 'Hammerhead (Ultimate)', 'Killraven', 'Killraven', 'Killraven', 'Killraven', 'Killraven', 'Yellow Claw']"
171,Baron Strucker,Gold Rush!,['Baron Strucker']
172,Baron Strucker,Madripoor Nights,['Baron Strucker']
173,Baron Strucker,,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
174,Baron Zemo (Heinrich Zemo),3 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Wasp']"
175,Baron Zemo (Heinrich Zemo),5 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Jasper Sitwell', 'Quicksilver', 'Wasp', 'Yellowjacket (Hank Pym)']"
176,Baron Zemo (Heinrich Zemo),6 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Quicksilver', 'Yellowjacket (Hank Pym)']"
177,Baron Zemo (Heinrich Zemo),4 of 8 - Out of Time,['Baron Zemo (Heinrich Zemo)']
178,Baron Zemo (Heinrich Zemo),6 of 6 - Out of Time,['Baron Zemo (Heinrich Zemo)']
179,Baron Zemo (Heinrich Zemo),House of M tie-in,"['Baron Zemo (Heinrich Zemo)', 'Captain America (House of M)']"
180,Baron Zemo (Heinrich Zemo),The Claws of the Panther,['Baron Zemo (Heinrich Zemo)']
181,Baron Zemo (Heinrich Zemo),The Man Who Lived Twice!,['Baron Zemo (Heinrich Zemo)']
182,Baron Zemo (Heinrich Zemo),The Avengers Break Up!,['Baron Zemo (Heinrich Zemo)']
183,Baron Zemo (Heinrich Zemo),Masters of Evil!,['Baron Zemo (Heinrich Zemo)']
184,Baron Zemo (Heinrich Zemo),Their Darkest Hour!,['Baron Zemo (Heinrich Zemo)']
185,Baron Zemo (Heinrich Zemo),Masters of Evil,"['Baron Zemo (Heinrich Zemo)', 'Radioactive Man', 'Radioactive Man']"
186,Baron Zemo (Heinrich Zemo),This Monster Unmasked,['Baron Zemo (Heinrich Zemo)']
187,Baron Zemo (Heinrich Zemo),Earth X Chapter Seven,"['Baron Strucker', 'Baron Zemo (Heinrich Zemo)']"
188,Baron Zemo (Helmut Zemo),Captain America (1968) #358,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper', 'U.S. Agent', 'Zaran']"
189,Baron Zemo (Helmut Zemo),Captain America (1968) #359,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper']"
190,Baron Zemo (Helmut Zemo),Captain America (1968) #360,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper', 'U.S. Agent']"
191,Baron Zemo (Helmut Zemo),Captain America (1968) #361,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper']"
192,Baron Zemo (Helmut Zemo),Captain America (1968) #362,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper']"
193,Barracuda,Interior #93002,['Barracuda']
194,Bastion,Darker Destiny,['Bastion']
195,Bastion,Preludes & Nightmares!,['Bastion']
196,Bastion,Operation Zero Tolerance Interview,"['Bastion', 'Bastion']"
197,Bastion,Dark Horizon,"['Bastion', 'X-Man']"
198,Bastion,Know Thy Enemy,['Bastion']
199,Bastion,Fight And Flight,['Bastion']
200,Bastion,Where No X-Man Has Gone Before!,"['Banshee', 'Bastion', 'Firelord', 'Oracle', 'Quasar (Phyla-Vell)', 'Raza', 'Tempest']"
201,Bastion,The Story Of The Year!,['Bastion']
202,Bastion,Lost Souls,"['Bastion', 'Lady Deathstrike']"
203,Bastion,I Had a Dream,['Bastion']
204,Bastion,Operation Zero Tolerance Interview,"['Bastion', 'Bastion']"
205,Bastion,Games of Deceit & Death Part 3,['Bastion']
206,Bastion,Roadside Attractions,['Bastion']
207,Bastion,Adrift,['Bastion']
208,Bastion,Primal,['Bastion']
209,Bastion,Angels and Demons 1 of 6,['Bastion']
210,Batroc the Leaper,In the Name of Batroc,['Batroc the Leaper']
211,Batroc the Leaper,Captain America (1968) #358,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper', 'U.S. Agent', 'Zaran']"
212,Batroc the Leaper,Captain America (1968) #359,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper']"
213,Batroc the Leaper,Captain America (1968) #360,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper', 'U.S. Agent']"
214,Batroc the Leaper,Captain America (1968) #361,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper']"
215,Batroc the Leaper,Captain America (1968) #362,"['Baron Zemo (Helmut Zemo)', 'Batroc the Leaper']"
216,Batroc the Leaper,The Arena,['Batroc the Leaper']
217,Batroc the Leaper,Disguise the Limit,"['Batroc the Leaper', 'M.O.D.A.M.', 'Zaran']"
218,Batroc the Leaper,Hostile Takeover,"['Batroc the Leaper', 'M.O.D.A.M.']"
219,Batroc the Leaper,Deadpool (1997) #20,"['Batroc the Leaper', 'Union Jack (Montgomery Falsworth)']"
220,Batroc the Leaper,Hawkeye: Blind Spot TPB,['Batroc the Leaper']
221,Battering Ram,Exit Wounds,"['Battering Ram', 'La Nuit', 'U-Go Girl']"
222,Battlestar,Television Blind,['Battlestar']
223,Battlestar,Fear Itself: Sin's Past (2011) #1,['Battlestar']
224,Battlestar,Interior #93833,['Battlestar']
225,Battlestar,Interior #93835,['Battlestar']
226,Battlestar,Interior #93837,['Battlestar']
227,Battlestar,Interior #93839,['Battlestar']
228,Battlestar,Interior #93841,['Battlestar']
229,Beak,The Prime of Miss Emma Frost,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
230,Beak,Riot at Xavier's,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
231,Beak,when X is not X,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
232,Beak,teaching children about fractals,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
233,Beak,Some Angels Falling,['Beak']
234,Beak,All Hell,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
235,Beak,Losers,"['Beak', 'Xorn (Kuan-Yin Xorn)']"
236,Beak,Germ Free Generation: two of three,['Beak']
237,Beak,Danger Rooms,['Beak']
238,Beak,1 of 4; THE INITIATIVE BANNER,['Beak']
239,Beak,2 of 5; THE INITIATIVE BANNER; Annihilation Conquest Insert,['Beak']
240,Beast,5 of 5 - World's End,"['Beast', 'Ka-Zar', 'Rachel Grey', 'X-23']"
241,Beast,2 of 2 - Mojo Rising,"['Beast', 'Emma Frost', 'Rachel Grey', 'Vargas']"
242,Beast,1 of 3 -,"['Beast', 'Cannonball', 'Iceman (Ultimate)', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Jean Grey (Ultimate)', 'Rachel Grey', 'Sabretooth (Ultimate)']"
243,Beast,2 of 3 - Wand'ring Star,"['Beast', 'Cannonball']"
244,Beast,Interior #1902,"['Beast', 'Karma', 'New Mutants']"
245,Beast (Ultimate),Interior #1887,['Beast (Ultimate)']
246,Beast (Ultimate),Previously In Ultimate X-Men:,"['Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)']"
247,Beast (Ultimate),Previously In Ultimate X-Men:,"['Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)']"
248,Beast (Ultimate),Hellfire and Brimstone Part 5,['Beast (Ultimate)']
249,Beast (Ultimate),Previously In Ultimate X-Men:,"['Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)']"
250,Beast (Ultimate),Hellfire and Brimstone Part 4,['Beast (Ultimate)']
251,Beast (Ultimate),Previously In Ultimate X-Men:,"['Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)']"
252,Beast (Ultimate),Hellfire and Brimstone Part 3,['Beast (Ultimate)']
253,Beast (Ultimate),Previously In Ultimate X-Men:,"['Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)']"
254,Beast (Ultimate),Hellfire and Brimstone Part 2,"['Beast (Ultimate)', 'Quicksilver (Ultimate)']"
255,Beast (Ultimate),Previously In Ultimate X-Men:,"['Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)', 'Beast (Ultimate)']"
256,Bedlam,Pestilence!,"['Bedlam', 'Warpath']"
257,Bedlam,I Still Believe I Cannot Be Saved,"['Bedlam', 'Warpath', 'X-Man']"
258,Bedlam,An Exemplary Day,"['Bedlam', 'Tempest']"
259,Bedlam,Harsh Judgments,"['Bedlam', 'Tempest']"
260,Bedlam,The Ninth Day,"['Bedlam', 'Tempest']"
261,Bedlam,The Eighth Day Part 1,['Bedlam']
262,Cable (Ultimate),Apocalypse Now 4 of 5,['Cable (Ultimate)']
263,Cable (Ultimate),4 of 4 Apocalypse Now,['Cable (Ultimate)']
264,Calamity,12XLS 1 of 12; THE INITIATIVE BANNER,"['Calamity', 'Veda']"
265,Calamity,12XLS 2 of 12; THE INITIATIVE BANNER,"['Calamity', 'Veda']"
266,Calamity,THE INITIATIVE BANNER,"['Calamity', 'Calamity', 'Veda', 'Veda']"
267,Calamity,THE INITIATIVE BANNER,"['Calamity', 'Calamity', 'Veda', 'Veda']"
268,Calamity,Interior #36219,"['Calamity', 'Veda']"
269,Calamity,Interior #36518,"['Calamity', 'Veda']"
270,Calamity,Interior #36948,"['Calamity', 'Veda']"
271,Calamity,1 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men', 'Young X-Men', 'Young X-Men']"
272,Calamity,2 of 5,"['Calamity', 'Veda', 'Young X-Men', 'Young X-Men']"
273,Calamity,3 of 5,"['Calamity', 'Madrox', 'Veda', 'Young X-Men', 'Young X-Men']"
274,Caliban,3 of 4 - Season of the Witch (HoM),"['Caliban', 'Rachel Grey']"
275,Caliban,Fallen Angel!,['Caliban']
276,Caliban,Redemption!,"['Caliban', 'Harpoon']"
277,Caliban,Boom Boom Boom!,['Caliban']
278,Caliban,Ghosts!,['Caliban']
279,Caliban,"Die, Mutants, Die!","['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
280,Caliban,The Enemy Within,['Caliban']
281,Caliban,All Together Now!,"['Caliban', 'Famine', 'Pestilence']"
282,Caliban,Children's Crusade,['Caliban']
283,Caliban,For Every Action...,"['Caliban', 'Famine', 'Pestilence']"
284,Caliban,If I Should Die...,"['Caliban', 'Famine', 'Pestilence']"
285,Caliban,You Say You Want Some Evolution?,"['Caliban', 'Famine', 'Pestilence']"
286,Caliban,Masks,"['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
287,Caliban,Judgement Day!,"['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
288,Caliban,Casualties,"['Caliban', 'Famine', 'War (Abraham Kieros)']"
289,Caliban,Countdown!,['Caliban']
290,Caliban,Home!,['Caliban']
291,Caliban,Ghosts,['Caliban']
292,Callisto,2 of 4 - Season of the Witch,"['Banshee', 'Callisto', 'Rachel Grey']"
293,Callisto,Beneath it all,['Callisto']
294,Callisto,Catacombs,['Callisto']
295,Callisto,Rogue,['Callisto']
296,Callisto,Decisions,['Callisto']
297,Callisto,An Age Undreamed Of,['Callisto']
298,Callisto,Raiders of the Lost Temple,['Callisto']
299,Callisto,Warhunt 2,"['Callisto', 'Empath']"
300,Callisto,Retribution,['Callisto']
301,Callisto,Massacre,"['Callisto', 'Harpoon']"
302,Callisto,Psylocke,"['Callisto', 'Harpoon']"
303,Callisto,With Malice Toward All,['Callisto']
304,Callisto,Folly's Gambit,['Callisto']
305,Callisto,Where Duty Lies,['Callisto']
306,Callisto,Storm Warnings,"['Callisto', 'Lady Deathstrike', 'Reavers']"
307,Callisto,Dream a Little Dream,"['Callisto', 'Legion']"
308,Callisto,Scary Monsters,"['Callisto', 'Lady Deathstrike', 'Reavers']"
309,Callisto,The Lower Depths,['Callisto']
310,Callisto,Generation Of Evil,['Callisto']
311,Calypso,"Torment, Part 2",['Calypso']
312,Calypso,"Torment, Part 3",['Calypso']
313,Calypso,"Torment, Part 4",['Calypso']
314,Calypso,"Torment, Part 5",['Calypso']
315,Cannonball,1 of 3 -,"['Beast', 'Cannonball', 'Iceman (Ultimate)', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Jean Grey (Ultimate)', 'Rachel Grey', 'Sabretooth (Ultimate)']"
316,Cannonball,2 of 3 - Wand'ring Star,"['Beast', 'Cannonball']"
317,Cannonball,2 of 5 - Escape of Magneto,"['Cannonball', 'Emma Frost', 'Quicksilver (Ultimate)']"
318,Cannonball,3 of 5 - Magnetic North,"['Cannonball', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Ultimates']"
319,Cannonball,4 of 5 - Magnetic North,"['Cannonball', 'Captain America (Ultimate)', 'Emma Frost', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Quicksilver (Ultimate)', 'Ultimates', 'Wasp (Ultimate)']"
320,Cannonball,2 of 3 -,"['Cannonball', 'Iceman (Ultimate)', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Jean Grey (Ultimate)', 'Sabretooth (Ultimate)']"
321,Cannonball,Interior #1904,"['Cannonball', 'Karma', 'New Mutants']"
322,Cannonball,You Must Remember This,"['Adam Warlock', 'Cannonball']"
323,Cannonball,Kings of Pain Part 3: Queens of Sacrifice,"['Banshee (Theresa Rourke)', 'Cannonball', 'Firestar', 'Legion', 'Warpath']"
324,Captain America,Avengers (1998) #502,['Captain America']
325,Captain America,Interior #1500,"['Baron Strucker', 'Captain America', 'Hank Pym', 'Nick Fury', 'Wasp']"
326,Captain America (House of M),House of M tie-in,"['Baron Zemo (Heinrich Zemo)', 'Captain America (House of M)']"
